id,rouge1,rouge2,rougeL,bertScore
GPT-3.5,0.4744,0.1901,0.4247,0.6514
GPT-4,0.5176,0.2258,0.4597,0.6334
default-aci-bench,0.5478,0.2333,0.5324,0.6832
id0,0.4615,0.1614,0.4474,0.6455
id1,0.4887,0.1895,0.4735,0.6466
id2,0.4834,0.1851,0.4658,0.6429
id3,0.5438,0.2294,0.528,0.6831
id4,0.4578,0.1515,0.4435,0.6375
id5,0.4255,0.1313,0.4116,0.6278
id6,0.5187,0.201,0.5036,0.673
id7,0.4313,0.1394,0.4167,0.6295
id8,0.4843,0.1837,0.4681,0.6455
id9,0.5796,0.2742,0.5652,0.7019
id10,0.5041,0.184,0.4895,0.6599
id11,0.4617,0.1563,0.4464,0.6421
id12,0.5525,0.2365,0.5384,0.6878
id13,0.4016,0.1216,0.3881,0.617
id14,0.4299,0.1396,0.4145,0.6321
id15,0.6018,0.2996,0.5878,0.7152
id16,0.5488,0.2251,0.5323,0.6821
id17,0.5005,0.1825,0.4849,0.6547
